	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	kegg_id	kegg_hit	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_identity	peptidase_bitScore	peptidase_eVal	pfam_hits	cazy_hits	vogdb_id	vogdb_categories	vogdb_hit	heme_regulatory_motif_count
MAG20_MAG20_125_3	MAG20	MAG20_125	3	2225	4750	-1	C	K00688	glycogen phosphorylase [EC:2.4.1.1]								Carbohydrate phosphorylase [PF00343.21]	GT35 glycogen or starch phosphorylase (EC 2.4.1.1). [GT35]				0
MAG20_MAG20_126_1	MAG20	MAG20_126	1	2	715	1	D										Phosphoglucose isomerase [PF00342.20]					0
MAG20_MAG20_126_2	MAG20	MAG20_126	2	753	1169	1	E															0
MAG20_MAG20_126_3	MAG20	MAG20_126	3	1276	1776	1	C	K07040	uncharacterized protein								Large ribosomal RNA subunit accumulation protein YceD [PF02620.18]					0
MAG20_MAG20_126_4	MAG20	MAG20_126	4	1812	1997	1	C	K02911	large subunit ribosomal protein L32								Ribosomal L32p protein family [PF01783.24]					0
MAG20_MAG20_126_5	MAG20	MAG20_126	5	2061	3389	1	C	K03977	GTPase								KH-domain-like of EngA bacterial GTPase enzymes, C-terminal [PF14714.7]; MnmE helical domain [PF12631.8]; Ferrous iron transport protein B [PF02421.19]; 50S ribosome-binding GTPase [PF01926.24]; Elongation factor Tu GTP binding domain [PF00009.28]; Ras family [PF00071.23]; RsgA GTPase [PF03193.17]; ADP-ribosylation factor family [PF00025.22]					0
MAG20_MAG20_126_6	MAG20	MAG20_126	6	3386	4045	1	C	K08591	acyl phosphate:glycerol-3-phosphate acyltransferase [EC:2.3.1.275]								Glycerol-3-phosphate acyltransferase [PF02660.16]					0
MAG20_MAG20_126_7	MAG20	MAG20_126	7	4056	4508	1	E															0
MAG20_MAG20_126_8	MAG20	MAG20_126	8	4618	4767	1	E															0
MAG20_MAG20_127_1	MAG20	MAG20_127	1	304	4653	1	D										Disaggregatase related repeat [PF06848.12]; Ricin-type beta-trefoil lectin domain-like [PF14200.7]					0
MAG20_MAG20_128_1	MAG20	MAG20_128	1	2	1051	1	C	K00600	glycine hydroxymethyltransferase [EC:2.1.2.1]								Serine hydroxymethyltransferase [PF00464.20]; Aminotransferase class-V [PF00266.20]		sp|A6Q478|GLYA_NITSB	Xh	sp|A6Q478|GLYA_NITSB Serine hydroxymethyltransferase; Xh	0
MAG20_MAG20_128_2	MAG20	MAG20_128	2	1085	2275	1	D										CDP-Glycerol:Poly(glycerophosphate) glycerophosphotransferase [PF04464.15]					0
MAG20_MAG20_128_3	MAG20	MAG20_128	3	2278	3405	1	C	K18704	CDP-ribitol ribitolphosphotransferase / teichoic acid ribitol-phosphate polymerase [EC:2.7.8.14 2.7.8.47]								CDP-Glycerol:Poly(glycerophosphate) glycerophosphotransferase [PF04464.15]					0
MAG20_MAG20_128_4	MAG20	MAG20_128	4	3402	4577	1	C	K05825	2-aminoadipate transaminase [EC:2.6.1.-]								Aminotransferase class I and II [PF00155.22]; Alanine-glyoxylate amino-transferase [PF12897.8]; Beta-eliminating lyase [PF01212.22]					0
MAG20_MAG20_129_1	MAG20	MAG20_129	1	239	1087	-1	E															0
MAG20_MAG20_129_2	MAG20	MAG20_129	2	1195	2244	-1	C	K04763	integrase/recombinase XerD								Phage integrase family [PF00589.23]; Phage integrase, N-terminal SAM-like domain [PF02899.18]; Phage integrase SAM-like domain [PF13102.7]; Phage integrase, N-terminal SAM-like domain [PF13495.7]		sp|Q9CI63|P2IN_LACLA	Xr	sp|Q9CI63|P2IN_LACLA Prophage ps2 probable integrase; Xr	0
MAG20_MAG20_129_3	MAG20	MAG20_129	3	2228	3199	-1	D										Phage integrase family [PF00589.23]		sp|Q9CI63|P2IN_LACLA	Xr	sp|Q9CI63|P2IN_LACLA Prophage ps2 probable integrase; Xr	0
MAG20_MAG20_129_4	MAG20	MAG20_129	4	3193	4425	-1	D										Phage integrase family [PF00589.23]; Phage integrase, N-terminal SAM-like domain [PF02899.18]		sp|Q9CI63|P2IN_LACLA	Xr	sp|Q9CI63|P2IN_LACLA Prophage ps2 probable integrase; Xr	0
MAG20_MAG20_13_1	MAG20	MAG20_13	1	27	530	1	C	K01159	crossover junction endodeoxyribonuclease RuvC [EC:3.1.22.4]								Crossover junction endodeoxyribonuclease RuvC [PF02075.18]		sp|O57229|RUVV_VACCA	Xh;Xr	sp|O57229|RUVV_VACCA Holliday junction resolvase; XhXr	0
MAG20_MAG20_13_2	MAG20	MAG20_13	2	535	1140	1	C	K03550	holliday junction DNA helicase RuvA [EC:3.6.4.12]								RuvA N terminal domain [PF01330.22]; Helix-hairpin-helix domain [PF14520.7]					0
MAG20_MAG20_13_3	MAG20	MAG20_13	3	1162	2190	1	C	K03551	holliday junction DNA helicase RuvB [EC:3.6.4.12]								Holliday junction DNA helicase RuvB P-loop domain [PF05496.13]; RuvB C-terminal winged helix domain [PF05491.14]; RuvB AAA lid domain [PF17864.2]; AAA domain (dynein-related subfamily) [PF07728.15]; ATPase family associated with various cellular activities (AAA) [PF00004.30]; ATPase family associated with various cellular activities (AAA) [PF07726.12]; IstB-like ATP binding protein [PF01695.18]; Magnesium chelatase, subunit ChlI [PF01078.22]; Bacterial dnaA  protein [PF00308.19]; AAA domain (Cdc48 subfamily) [PF07724.15]		sp|O64301|DPA44_BPR69	Xh;Xr	sp|O64301|DPA44_BPR69 DNA polymerase accessory protein 44; XhXr	0
MAG20_MAG20_13_4	MAG20	MAG20_13	4	2212	3567	1	C	K03431	phosphoglucosamine mutase [EC:5.4.2.10]								Phosphoglucomutase/phosphomannomutase, alpha/beta/alpha domain I [PF02878.17]; Phosphoglucomutase/phosphomannomutase, alpha/beta/alpha domain III [PF02880.17]; Phosphoglucomutase/phosphomannomutase, alpha/beta/alpha domain II [PF02879.17]					0
MAG20_MAG20_13_5	MAG20	MAG20_13	5	3567	4433	1	D										S-adenosylmethionine-dependent methyltransferase [PF10672.10]; Conserved hypothetical protein 95 [PF03602.16]; RNA cap guanine-N2 methyltransferase [PF09445.11]; Spermine/spermidine synthase domain [PF01564.18]					0
MAG20_MAG20_13_6	MAG20	MAG20_13	6	4434	5276	1	C	K16786	energy-coupling factor transport system ATP-binding protein [EC:7.-.-.-]								ABC transporter [PF00005.28]; RecF/RecN/SMC N terminal domain [PF02463.20]					0
MAG20_MAG20_13_7	MAG20	MAG20_13	7	5279	6151	1	C	K16787	energy-coupling factor transport system ATP-binding protein [EC:7.-.-.-]								ABC transporter [PF00005.28]; RecF/RecN/SMC N terminal domain [PF02463.20]; AAA domain, putative AbiEii toxin, Type IV TA system [PF13304.7]; AAA ATPase domain [PF13175.7]					0
MAG20_MAG20_13_8	MAG20	MAG20_13	8	6148	6960	1	C	K16785	energy-coupling factor transport system permease protein								Cobalt transport protein [PF02361.17]					0
MAG20_MAG20_13_9	MAG20	MAG20_13	9	6957	7691	1	C	K06173	tRNA pseudouridine38-40 synthase [EC:5.4.99.12]								tRNA pseudouridine synthase [PF01416.21]					0
MAG20_MAG20_13_10	MAG20	MAG20_13	10	7709	8881	1	D										Family of unknown function (DUF5711) [PF18975.1]					0
MAG20_MAG20_13_11	MAG20	MAG20_13	11	8892	9548	1	C	K03558	membrane protein required for colicin V production													0
MAG20_MAG20_13_12	MAG20	MAG20_13	12	9567	10178	1	D										CDP-alcohol phosphatidyltransferase [PF01066.22]					0
MAG20_MAG20_13_13	MAG20	MAG20_13	13	10201	12498	1	D										AAA domain (Cdc48 subfamily) [PF07724.15]; AAA lid domain [PF17871.2]; AAA domain (dynein-related subfamily) [PF07728.15]; C-terminal, D2-small domain, of ClpB protein [PF10431.10]; ATPase family associated with various cellular activities (AAA) [PF00004.30]; Bacterial TniB protein [PF05621.12]; DNA polymerase III, delta subunit [PF13177.7]; Torsin [PF06309.12]; AAA domain [PF13401.7]		sp|P0ABH9|CLPA_ECOLI	Xh	sp|P0ABH9|CLPA_ECOLI ATP-dependent Clp protease ATP-binding subunit ClpA; Xh	0
MAG20_MAG20_13_14	MAG20	MAG20_13	14	13185	13877	1	D			MER0258367	M95	MER0258367 - family M95 unassigned peptidases (Salmonella enterica) [M95.UPW]#M95#{peptidase unit: 166-251}~source WP_001291050~	False	0.454	64.0	5.857e-10	Protein of unknown function DUF45 [PF01863.18]; WLM domain [PF08325.11]					0
MAG20_MAG20_13_15	MAG20	MAG20_13	15	14024	14656	1	C	K00761	uracil phosphoribosyltransferase [EC:2.4.2.9]								Uracil phosphoribosyltransferase [PF14681.7]					0
MAG20_MAG20_13_16	MAG20	MAG20_13	16	14693	16060	1	C	K02824	uracil permease								Permease family [PF00860.21]					0
MAG20_MAG20_13_17	MAG20	MAG20_13	17	16189	17706	1	C	K11928	sodium/proline symporter								Sodium:solute symporter family [PF00474.18]					0
MAG20_MAG20_13_18	MAG20	MAG20_13	18	17721	18740	-1	D										Protein of unknown function (DUF2974) [PF11187.9]					0
MAG20_MAG20_130_1	MAG20	MAG20_130	1	90	1496	1	C	K00764	amidophosphoribosyltransferase [EC:2.4.2.14]	MER0162263	C44	MER0162263 - family C44 non-peptidase homologues (Anaerostipes caccae) [C44.UNW]#C44#{peptidase unit: 2-233}~source ZP_02419643~	True	0.777	370.0	4.303e-111	Phosphoribosyl transferase domain [PF00156.28]; Glutamine amidotransferase domain [PF13537.7]; Glutamine amidotransferase domain [PF13522.7]					0
MAG20_MAG20_130_2	MAG20	MAG20_130	2	1557	2366	-1	C	K07149	uncharacterized protein													0
MAG20_MAG20_130_3	MAG20	MAG20_130	3	2824	3360	-1	C	K04769	AbrB family transcriptional regulator, stage V sporulation protein T								Stage V sporulation protein T C-terminal, transcription factor [PF15714.6]		sp|P08874|ABRB_BACSU	Xh	sp|P08874|ABRB_BACSU Transition state regulatory protein AbrB; Xh	0
MAG20_MAG20_130_4	MAG20	MAG20_130	4	3497	3763	-1	E															0
MAG20_MAG20_130_5	MAG20	MAG20_130	5	3918	4142	1	D										Helix-turn-helix domain [PF12844.8]; Helix-turn-helix [PF01381.23]; Helix-turn-helix domain [PF13560.7]; Antitoxin component of bacterial toxin-antitoxin system, MqsA [PF15731.6]; Helix-turn-helix domain [PF13744.7]					0
MAG20_MAG20_130_6	MAG20	MAG20_130	6	4241	4450	1	D										Helix-turn-helix domain [PF12844.8]; Helix-turn-helix [PF01381.23]; Helix-turn-helix domain [PF13560.7]; Cro/C1-type HTH DNA-binding domain [PF13443.7]; BetR domain [PF08667.11]; Helix-turn-helix domain [PF13744.7]					0
MAG20_MAG20_131_1	MAG20	MAG20_131	1	2	856	-1	D										Branched-chain amino acid transport system / permease component [PF02653.17]					0
MAG20_MAG20_131_2	MAG20	MAG20_131	2	859	2394	-1	C	K23537	general nucleoside transport system ATP-binding protein								ABC transporter [PF00005.28]					0
MAG20_MAG20_131_3	MAG20	MAG20_131	3	2478	3749	-1	C	K07335	basic membrane protein A and related proteins								ABC transporter substrate-binding protein PnrA-like [PF02608.15]					0
MAG20_MAG20_131_4	MAG20	MAG20_131	4	3820	4398	-1	C	K03816	xanthine phosphoribosyltransferase [EC:2.4.2.22]								Phosphoribosyl transferase domain [PF00156.28]					0
MAG20_MAG20_132_1	MAG20	MAG20_132	1	244	654	1	C	K01734	methylglyoxal synthase [EC:4.2.3.3]								MGS-like domain [PF02142.23]					0
MAG20_MAG20_132_2	MAG20	MAG20_132	2	713	2059	1	C	K01892	histidyl-tRNA synthetase [EC:6.1.1.21]								Histidyl-tRNA synthetase [PF13393.7]; Anticodon binding domain [PF03129.21]; tRNA synthetase class II core domain (G, H, P, S and T) [PF00587.26]					0
MAG20_MAG20_132_3	MAG20	MAG20_132	3	2059	3843	1	C	K01876	aspartyl-tRNA synthetase [EC:6.1.1.12]								tRNA synthetases class II (D, K and N) [PF00152.21]; GAD domain [PF02938.15]; OB-fold nucleic acid binding domain [PF01336.26]					0
MAG20_MAG20_132_4	MAG20	MAG20_132	4	3846	4427	1	C	K08722	5'-deoxynucleotidase [EC:3.1.3.89]								HD containing hydrolase-like enzyme [PF12917.8]; HD domain [PF13023.7]		REFSEQ	Xu	REFSEQ hypothetical protein; Xu	0
MAG20_MAG20_133_1	MAG20	MAG20_133	1	111	1241	1	D										Iron-containing alcohol dehydrogenase [PF00465.20]; Iron-containing alcohol dehydrogenase [PF13685.7]					0
MAG20_MAG20_133_2	MAG20	MAG20_133	2	1306	2013	1	C	K21030	D-ribitol-5-phosphate cytidylyltransferase [EC:2.7.7.40]								2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase [PF01128.20]; Nucleotidyl transferase [PF00483.24]; MobA-like NTP transferase domain [PF12804.8]					0
MAG20_MAG20_133_3	MAG20	MAG20_133	3	2010	3035	1	C	K05352	ribitol-5-phosphate 2-dehydrogenase (NADP+) [EC:1.1.1.405]								Glucose dehydrogenase C-terminus [PF16912.6]					0
MAG20_MAG20_133_4	MAG20	MAG20_133	4	3133	4317	-1	C	K18677	galacturonokinase [EC:2.7.1.44]													0
MAG20_MAG20_134_1	MAG20	MAG20_134	1	3	971	1	C	K03526	(E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase [EC:1.17.7.1 1.17.7.3]								GcpE protein [PF04551.15]					0
MAG20_MAG20_134_2	MAG20	MAG20_134	2	971	4411	1	C	K03763	DNA polymerase III subunit alpha, Gram-positive type [EC:2.7.7.7]								Bacterial DNA polymerase III alpha NTPase domain [PF07733.13]; Bacterial DNA polymerase III alpha subunit finger domain [PF17657.2]; PHP domain [PF02811.20]					0
MAG20_MAG20_135_1	MAG20	MAG20_135	1	2	2701	1	C	K01190	beta-galactosidase [EC:3.2.1.23]								Beta galactosidase small chain [PF02929.18]; Glycosyl hydrolases family 2, TIM barrel domain [PF02836.18]; Domain of unknown function (DUF4981) [PF16353.6]; Glycosyl hydrolases family 2, sugar binding domain [PF02837.19]; Glycosyl hydrolases family 2 [PF00703.22]	GH2 beta-galactosidase (EC 3.2.1.23) ; beta-mannosidase (EC 3.2.1.25); beta-glucuronidase (EC 3.2.1.31); alpha-L-arabinofuranosidase (EC 3.2.1.55); mannosylglycoprotein endo-beta-mannosidase (EC 3.2.1.152); exo-beta-glucosaminidase (EC 3.2.1.165); alpha-L-arabinopyranosidase (EC 3.2.1.-); beta-galacturonidase (EC 3.2.1.-); beta-xylosidase (EC 3.2.1.37); beta-D-galactofuranosidase (EC 3.2.1.146); [GH2]				0
MAG20_MAG20_135_2	MAG20	MAG20_135	2	2707	4371	1	C	K02238	competence protein ComEC								Competence protein [PF03772.17]					0
MAG20_MAG20_136_1	MAG20	MAG20_136	1	2	1555	1	C	K01005	polyisoprenyl-teichoic acid--peptidoglycan teichoic acid transferase [EC:2.7.8.-]								LytR_cpsA_psr family [PF03816.15]					0
MAG20_MAG20_136_2	MAG20	MAG20_136	2	1574	2284	1	C	K07507	putative Mg2+ transporter-C (MgtC) family protein								MgtC family [PF02308.17]					0
MAG20_MAG20_136_3	MAG20	MAG20_136	3	2390	3016	-1	D										Histidine phosphatase superfamily (branch 1) [PF00300.23]					0
MAG20_MAG20_136_4	MAG20	MAG20_136	4	3143	3760	1	D										Helix-turn-helix domain [PF12844.8]; Helix-turn-helix [PF01381.23]					0
MAG20_MAG20_136_5	MAG20	MAG20_136	5	3752	4369	-1	C	K01243	adenosylhomocysteine nucleosidase [EC:3.2.2.9]								Phosphorylase superfamily [PF01048.21]					0
MAG20_MAG20_137_1	MAG20	MAG20_137	1	241	1512	1	C	K03979	GTPase [EC:3.6.5.-]								GTP1/OBG [PF01018.23]; Domain of unknown function (DUF1967) [PF09269.12]; 50S ribosome-binding GTPase [PF01926.24]; Ferrous iron transport protein B [PF02421.19]					0
MAG20_MAG20_137_2	MAG20	MAG20_137	2	1516	1902	1	C	K11145	ribonuclease III family protein [EC:3.1.26.-]								Ribonuclease III domain [PF00636.27]					0
MAG20_MAG20_137_3	MAG20	MAG20_137	3	2170	4362	1	D										Glycosyl transferase family 2 [PF00535.27]; Glycosyltransferase like family 2 [PF13641.7]; Glycosyltransferase like family 2 [PF10111.10]	GT27 polypeptide alpha-N-acetylgalactosaminyltransferase (EC 2.4.1.41) [GT27]; GT2 cellulose synthase (EC 2.4.1.12); chitin synthase (EC 2.4.1.16); dolichyl-phosphate beta-D-mannosyltransferase (EC 2.4.1.83); dolichyl-phosphate beta-glucosyltransferase (EC 2.4.1.117); N-acetylglucosaminyltransferase (EC 2.4.1.-); N-acetylgalactosaminyltransferase (EC 2.4.1.-); hyaluronan synthase (EC 2.4.1.212); chitin oligosaccharide synthase (EC 2.4.1.-); beta-1,3-glucan synthase (EC 2.4.1.34); beta-1,4-mannan synthase (EC 2.4.1.-); beta-mannosylphosphodecaprenol-mannooligosaccharide alpha-1,6-mannosyltransferase (EC 2.4.1.199); UDP-Galf: rhamnopyranosyl-N-acetylglucosaminyl-PP-decaprenol beta-1,4/1,5-galactofuranosyltransferase (EC 2.4.1.287); UDP-Galf: galactofuranosyl-galactofuranosyl-rhamnosyl-N-acetylglucosaminyl-PP-decaprenol beta-1,5/1,6-galactofuranosyltransferase (EC 2.4.1.288); dTDP-L-Rha: N-acetylglucosaminyl-PP-decaprenol alpha-1,3-L-rhamnosyltransferase (EC 2.4.1.289) [GT2_Glycos_transf_2]; GT2 cellulose synthase (EC 2.4.1.12); chitin synthase (EC 2.4.1.16); dolichyl-phosphate beta-D-mannosyltransferase (EC 2.4.1.83); dolichyl-phosphate beta-glucosyltransferase (EC 2.4.1.117); N-acetylglucosaminyltransferase (EC 2.4.1.-); N-acetylgalactosaminyltransferase (EC 2.4.1.-); hyaluronan synthase (EC 2.4.1.212); chitin oligosaccharide synthase (EC 2.4.1.-); beta-1,3-glucan synthase (EC 2.4.1.34); beta-1,4-mannan synthase (EC 2.4.1.-); beta-mannosylphosphodecaprenol-mannooligosaccharide alpha-1,6-mannosyltransferase (EC 2.4.1.199); UDP-Galf: rhamnopyranosyl-N-acetylglucosaminyl-PP-decaprenol beta-1,4/1,5-galactofuranosyltransferase (EC 2.4.1.287); UDP-Galf: galactofuranosyl-galactofuranosyl-rhamnosyl-N-acetylglucosaminyl-PP-decaprenol beta-1,5/1,6-galactofuranosyltransferase (EC 2.4.1.288); dTDP-L-Rha: N-acetylglucosaminyl-PP-decaprenol alpha-1,3-L-rhamnosyltransferase (EC 2.4.1.289) [GT2_Glycos_transf_2]; GT2 cellulose synthase (EC 2.4.1.12); chitin synthase (EC 2.4.1.16); dolichyl-phosphate beta-D-mannosyltransferase (EC 2.4.1.83); dolichyl-phosphate beta-glucosyltransferase (EC 2.4.1.117); N-acetylglucosaminyltransferase (EC 2.4.1.-); N-acetylgalactosaminyltransferase (EC 2.4.1.-); hyaluronan synthase (EC 2.4.1.212); chitin oligosaccharide synthase (EC 2.4.1.-); beta-1,3-glucan synthase (EC 2.4.1.34); beta-1,4-mannan synthase (EC 2.4.1.-); beta-mannosylphosphodecaprenol-mannooligosaccharide alpha-1,6-mannosyltransferase (EC 2.4.1.199); UDP-Galf: rhamnopyranosyl-N-acetylglucosaminyl-PP-decaprenol beta-1,4/1,5-galactofuranosyltransferase (EC 2.4.1.287); UDP-Galf: galactofuranosyl-galactofuranosyl-rhamnosyl-N-acetylglucosaminyl-PP-decaprenol beta-1,5/1,6-galactofuranosyltransferase (EC 2.4.1.288); dTDP-L-Rha: N-acetylglucosaminyl-PP-decaprenol alpha-1,3-L-rhamnosyltransferase (EC 2.4.1.289) [GT2_Glyco_tranf_2_2]; GT2 cellulose synthase (EC 2.4.1.12); chitin synthase (EC 2.4.1.16); dolichyl-phosphate beta-D-mannosyltransferase (EC 2.4.1.83); dolichyl-phosphate beta-glucosyltransferase (EC 2.4.1.117); N-acetylglucosaminyltransferase (EC 2.4.1.-); N-acetylgalactosaminyltransferase (EC 2.4.1.-); hyaluronan synthase (EC 2.4.1.212); chitin oligosaccharide synthase (EC 2.4.1.-); beta-1,3-glucan synthase (EC 2.4.1.34); beta-1,4-mannan synthase (EC 2.4.1.-); beta-mannosylphosphodecaprenol-mannooligosaccharide alpha-1,6-mannosyltransferase (EC 2.4.1.199); UDP-Galf: rhamnopyranosyl-N-acetylglucosaminyl-PP-decaprenol beta-1,4/1,5-galactofuranosyltransferase (EC 2.4.1.287); UDP-Galf: galactofuranosyl-galactofuranosyl-rhamnosyl-N-acetylglucosaminyl-PP-decaprenol beta-1,5/1,6-galactofuranosyltransferase (EC 2.4.1.288); dTDP-L-Rha: N-acetylglucosaminyl-PP-decaprenol alpha-1,3-L-rhamnosyltransferase (EC 2.4.1.289) [GT2_Glyco_tranf_2_2]; GT2 cellulose synthase (EC 2.4.1.12); chitin synthase (EC 2.4.1.16); dolichyl-phosphate beta-D-mannosyltransferase (EC 2.4.1.83); dolichyl-phosphate beta-glucosyltransferase (EC 2.4.1.117); N-acetylglucosaminyltransferase (EC 2.4.1.-); N-acetylgalactosaminyltransferase (EC 2.4.1.-); hyaluronan synthase (EC 2.4.1.212); chitin oligosaccharide synthase (EC 2.4.1.-); beta-1,3-glucan synthase (EC 2.4.1.34); beta-1,4-mannan synthase (EC 2.4.1.-); beta-mannosylphosphodecaprenol-mannooligosaccharide alpha-1,6-mannosyltransferase (EC 2.4.1.199); UDP-Galf: rhamnopyranosyl-N-acetylglucosaminyl-PP-decaprenol beta-1,4/1,5-galactofuranosyltransferase (EC 2.4.1.287); UDP-Galf: galactofuranosyl-galactofuranosyl-rhamnosyl-N-acetylglucosaminyl-PP-decaprenol beta-1,5/1,6-galactofuranosyltransferase (EC 2.4.1.288); dTDP-L-Rha: N-acetylglucosaminyl-PP-decaprenol alpha-1,3-L-rhamnosyltransferase (EC 2.4.1.289) [GT2_Glyco_tranf_2_3]; GT2 cellulose synthase (EC 2.4.1.12); chitin synthase (EC 2.4.1.16); dolichyl-phosphate beta-D-mannosyltransferase (EC 2.4.1.83); dolichyl-phosphate beta-glucosyltransferase (EC 2.4.1.117); N-acetylglucosaminyltransferase (EC 2.4.1.-); N-acetylgalactosaminyltransferase (EC 2.4.1.-); hyaluronan synthase (EC 2.4.1.212); chitin oligosaccharide synthase (EC 2.4.1.-); beta-1,3-glucan synthase (EC 2.4.1.34); beta-1,4-mannan synthase (EC 2.4.1.-); beta-mannosylphosphodecaprenol-mannooligosaccharide alpha-1,6-mannosyltransferase (EC 2.4.1.199); UDP-Galf: rhamnopyranosyl-N-acetylglucosaminyl-PP-decaprenol beta-1,4/1,5-galactofuranosyltransferase (EC 2.4.1.287); UDP-Galf: galactofuranosyl-galactofuranosyl-rhamnosyl-N-acetylglucosaminyl-PP-decaprenol beta-1,5/1,6-galactofuranosyltransferase (EC 2.4.1.288); dTDP-L-Rha: N-acetylglucosaminyl-PP-decaprenol alpha-1,3-L-rhamnosyltransferase (EC 2.4.1.289) [GT2_Glyco_tranf_2_3]	sp|O22007|GTRB_BPSF5	Xh	sp|O22007|GTRB_BPSF5 Bactoprenol glucosyl transferase; Xh	0
MAG20_MAG20_138_1	MAG20	MAG20_138	1	61	1041	1	C	K03569	rod shape-determining protein MreB and related proteins								MreB/Mbl protein [PF06723.14]; Hsp70 protein [PF00012.21]; Actin [PF00022.20]; Cell division protein FtsA [PF14450.7]; Type IV pilus assembly protein PilM; [PF11104.9]					0
MAG20_MAG20_138_2	MAG20	MAG20_138	2	1044	1886	1	C	K03570	rod shape-determining protein MreC								rod shape-determining protein MreC [PF04085.15]					0
MAG20_MAG20_138_3	MAG20	MAG20_138	3	1886	2422	1	C	K03571	rod shape-determining protein MreD								rod shape-determining protein MreD [PF04093.13]					0
MAG20_MAG20_138_4	MAG20	MAG20_138	4	2444	4360	1	C	K05515	penicillin-binding protein 2 [EC:3.4.16.4]								Penicillin binding protein transpeptidase domain [PF00905.23]; Penicillin-binding Protein dimerisation domain [PF03717.16]					0
MAG20_MAG20_139_1	MAG20	MAG20_139	1	378	2267	-1	C	K03205	type IV secretion system protein VirD4 [EC:7.4.2.8]								Type IV secretory system Conjugative DNA transfer [PF02534.15]; Type IV secretion-system coupling protein DNA-binding domain [PF10412.10]; TraM recognition site of TraD and TraG [PF12696.8]					0
MAG20_MAG20_139_2	MAG20	MAG20_139	2	2255	3163	-1	D										Protein of unknown function (DUF3991) [PF13154.7]; Toprim-like [PF13155.7]					0
MAG20_MAG20_139_3	MAG20	MAG20_139	3	3402	4328	-1	C	K04763	integrase/recombinase XerD								Phage integrase family [PF00589.23]; Phage integrase, N-terminal SAM-like domain [PF02899.18]; Phage integrase, N-terminal SAM-like domain [PF13495.7]		sp|Q9CI63|P2IN_LACLA	Xr	sp|Q9CI63|P2IN_LACLA Prophage ps2 probable integrase; Xr	0
MAG20_MAG20_14_1	MAG20	MAG20_14	1	188	886	-1	C	K02483	two-component system, OmpR family, response regulator								Response regulator receiver domain [PF00072.25]; Transcriptional regulatory protein, C terminal [PF00486.29]					0
MAG20_MAG20_14_2	MAG20	MAG20_14	2	889	2400	-1	D										Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase [PF02518.27]; His Kinase A (phospho-acceptor) domain [PF00512.26]; HAMP domain [PF00672.26]					0
MAG20_MAG20_14_3	MAG20	MAG20_14	3	2406	3395	-1	D										PHP domain [PF02811.20]					0
MAG20_MAG20_14_4	MAG20	MAG20_14	4	3538	4104	1	C	K03523	biotin transport system substrate-specific component								BioY family [PF02632.15]					0
MAG20_MAG20_14_5	MAG20	MAG20_14	5	4172	4384	1	D										Protein of unknown function (DUF1284) [PF06935.12]					0
MAG20_MAG20_14_6	MAG20	MAG20_14	6	4502	5335	1	D										short chain dehydrogenase [PF00106.26]; Enoyl-(Acyl carrier protein) reductase [PF13561.7]		sp|P37079|SORD_KLEPN	Xh	sp|P37079|SORD_KLEPN Sorbitol-6-phosphate 2-dehydrogenase; Xh	0
MAG20_MAG20_14_7	MAG20	MAG20_14	7	5413	6858	1	D										MFS/sugar transport protein [PF13347.7]					0
MAG20_MAG20_14_8	MAG20	MAG20_14	8	6920	8305	1	D										VanZ like family [PF04892.13]					0
MAG20_MAG20_14_9	MAG20	MAG20_14	9	8341	10380	-1	D										Domain of unknown function (DUF5054) [PF16477.6]					0
MAG20_MAG20_14_10	MAG20	MAG20_14	10	10406	13417	-1	C	K01190	beta-galactosidase [EC:3.2.1.23]								Beta galactosidase small chain [PF02929.18]; Glycosyl hydrolases family 2, TIM barrel domain [PF02836.18]; Glycosyl hydrolases family 2, sugar binding domain [PF02837.19]; Cellulase (glycosyl hydrolase family 5) [PF00150.19]	GH2 beta-galactosidase (EC 3.2.1.23) ; beta-mannosidase (EC 3.2.1.25); beta-glucuronidase (EC 3.2.1.31); alpha-L-arabinofuranosidase (EC 3.2.1.55); mannosylglycoprotein endo-beta-mannosidase (EC 3.2.1.152); exo-beta-glucosaminidase (EC 3.2.1.165); alpha-L-arabinopyranosidase (EC 3.2.1.-); beta-galacturonidase (EC 3.2.1.-); beta-xylosidase (EC 3.2.1.37); beta-D-galactofuranosidase (EC 3.2.1.146); [GH2]				0
MAG20_MAG20_14_11	MAG20	MAG20_14	11	13584	15779	-1	C	K00962	polyribonucleotide nucleotidyltransferase [EC:2.7.7.8]								3' exoribonuclease family, domain 1 [PF01138.22]; S1 RNA binding domain [PF00575.24]; 3' exoribonuclease family, domain 2 [PF03725.16]; Polyribonucleotide nucleotidyltransferase, RNA binding domain [PF03726.15]; KH domain [PF00013.30]					0
MAG20_MAG20_14_12	MAG20	MAG20_14	12	15957	16232	-1	C	K02956	small subunit ribosomal protein S15								Ribosomal protein S15 [PF00312.23]					0
MAG20_MAG20_14_13	MAG20	MAG20_14	13	16789	17097	1	C	K02888	large subunit ribosomal protein L21								Ribosomal prokaryotic L21 protein [PF00829.22]					0
